Comment,Designator,Footprint,LCSC Part Number
CL21B106KPQNNNE,"C1-C2,C6",CAPC3225X230N,C32635
CL31B105KBHNNNE,"C3-C4,C11,C15,C22",1206_CAP,C1848
CL21B104KBCNNNC,"C5,C8-C9,C16-C17",0805_CAP,C1711
CL32B226KOJNNNE,"C7,C10,C13",CAPC3225X230N,C55530
CL21B106KPQNNNE,"C12,C14",CAPC2012X140N,C32635
CL10C200JB8NNNC,C18-C19,0603_CAP,C1648
TCC1206X7R105M500HT,"C20-C21,C23",1206_CAP,C377070
0603WAF3301T5E,R1,0603_RES,C22978
0603WAF1201T5E,"R2,R8",0603_RES,C22765
0603WAF1001T5E,R3-R5,0603_RES,C21190
0805W8F2201T5E,R6,0805_RES,C17520
0805W8F5230T5E,R7,0805_RES,C17743
0805W8F1003T5E,R9,0805_RES,C149504
0603WAF1201T5E,R10-R17,0603_RES,C22765
THVD1450DR,U1,SOIC127P600X175-8N,C2671361
ULN2003,U2,SOIC127P600X175-16N,C5181464
LP38690SD-3,U3,SON95P300X300X80-7N,C130003
LM2596SX-5,U4,LM2596S50TR,C5186053
757-74VHC9151FT,U5,SOP65P640X120-20N,C2675621
STM32F411CEU6,U6,QFN50P700X700X60-49N-D,C60420
ECS-80-12-33-JGN-TR,U7,ECS801233JGNTR,C2442665
BC847C,Q1,SOT23,C3018507
XL-1608SYGC-06,D1-D2,0603,C965805
SMBJ30CA,D3,DIOM5336X240,C908205
XL-1608SURC-06,D4,0603,C965799
B560C-13-F,D5,DIOM7959X250N,C85100
2920L150DR,F1,2920L030DR,C93688
TMPA1005S-470MN-D,L1,SRP1038C6R8M,C2880066
