Designator,Mid X,Mid Y,Layer,Rotation
J7,-47.9999,-80.0001,TOP,0
J8,-87.5,-100,TOP,0
J9,-47.9999,-100,TOP,0
J6,-87.5,-80.0001,TOP,0
C20,-83.9252,-68.5,TOP,-180
C21,-44.1353,-70.77,TOP,-180
C23,-84.2701,-91.725,TOP,-180
J2,-76.2,-21.59,TOP,0
J3,-64.358,-21.598,TOP,0
J1,-97.79,-21.59,TOP,0
U4,-104.482,-49.9999,TOP,0
D5,-89.4199,-59.5,TOP,180
L1,-86.995,-49.02,TOP,90
C14,-78.6699,-54.6311,TOP,0
C13,-78.3801,-51.5,TOP,180
C10,-78.3801,-47.5,TOP,180
C7,-78.3801,-43.5,TOP,180
F1,-97.7301,-31.75,TOP,0
D3,-98.0801,-38.1,TOP,0
C1,-107.95,-30.48,TOP,0
C2,-107.95,-34.925,TOP,0
C6,-107.95,-39.37,TOP,0
U3,-82.55,-36.83,TOP,0
C3,-87.9602,-36.195,TOP,0
C4,-77.1652,-36.195,TOP,-180
D1,-88.9,-23.9014,TOP,-270
D2,-85.725,-23.9014,TOP,-270
R1,-88.9,-20.5486,TOP,270
R2,-85.725,-20.5486,TOP,-90
C22,-44.1353,-89.82,TOP,-180
R15,-49.2915,-89.82,TOP,-180
R14,-53.7365,-89.82,TOP,-180
R11,-88.6363,-68.5,TOP,0
R10,-92.6363,-68.5,TOP,0
R13,-49.2915,-70.77,TOP,-180
R12,-53.7365,-70.77,TOP,-180
R17,-88.7913,-91.725,TOP,-180
R16,-92.6013,-91.725,TOP,-180
U5,-64.895,-52.2011,TOP,0
C11,-65.0197,-47.1449,TOP,-180
U6,-43.545,-50.3951,TOP,-270
U7,-44.3499,-62.3999,TOP,0
C19,-42.5813,-59.341,TOP,-180
C18,-46.3636,-59.341,TOP,0
C15,-50.6882,-56.8866,TOP,-180
C8,-34.3306,-44.5084,TOP,0
C9,-49.0667,-45.5,TOP,-180
C17,-50.6882,-58.7916,TOP,-180
C5,-72.136,-36.6268,TOP,-90
C16,-34.3306,-56.9999,TOP,0
R9,-34.3306,-58.9999,TOP,0
R8,-34.3306,-42.4259,TOP,0
D4,-34.3306,-40.5,TOP,0
U1,-63.1299,-34.4551,TOP,-180
Q1,-54.9003,-33.4076,TOP,0
R6,-68.9102,-29.5275,TOP,-180
R7,-54.9003,-36.3601,TOP,-180
R4,-75.946,-29.464,TOP,180
R5,-72.7964,-29.464,TOP,180
R3,-79.3496,-29.464,TOP,0
C12,-35.3441,-48.6489,TOP,0
U2,-42.9999,-31.5001,TOP,-270
TP1,-33.243,-27.3129,TOP,0
TP2,-30.068,-29.2179,TOP,0
TP3,-33.243,-31.1229,TOP,0
TP4,-30.068,-33.0279,TOP,0
TP6,-30.068,-36.8379,TOP,0
TP5,-33.243,-34.9329,TOP,0
J4,-50.388,-20.074,TOP,0
J5,-37.688,-20.074,TOP,0
